"Team","League","Year.x","RS","RA.x","W.x","OBP","SLG","BA","Playoffs.x","RankSeason","RankPlayoffs","G.x","OOBP","OSLG","Playoffs2","current.x","join_val","X.x","Rk","Year.y","Tm.x","Lg","G.y","W.y","L.x","Ties","W.L..x","pythW.L.","Finish","GB","Playoffs.y","R.x","RA.y","Attendance","BatAge","PAge.x","Num.Bat","Num.P","Top.Player","Managers","current.y","WAR","Abv","X.y","Tm.y","X.P","PAge.y","RA.G","W","L.y","W.L..y","ERA","G","GS","GF","CG","tSho","cSho","SV","IP","H","R.y","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","ERA.","FIP","WHIP","H9","HR9","BB9","SO9","SO.W","LOB","Year","current","ERAP","SV.G","CG.G","tSho.G","cSho.G","RS.G","win_adj"
"MIL","AL",1990,732,760,74,0.32,0.384,0.256,0,NA,NA,162,NA,NA,"NO","MIL","MIL - 1990",1383,27,1990,"Milwaukee Brewers","AL East",162,74,88,0,0.457,0.483,"6th of 7","14","",732,760,1752900,29.4,28.6,43,22,"R.Robinson (3.3)","T.Trebelhorn (74-88)","Milwaukee Brewers",3.3,"MIL",683,"MIL",22,28.6,4.69,74,88,0.457,4.08,162,162,139,23,13,7,42,1445,1558,760,655,121,469,39,771,38,7,47,6284,95,3.88,1.403,9.7,0.8,2.9,4.8,1.64,7.33950617283951,1990,"MIL",95,0.259259259259259,0.141975308641975,0.0802469135802469,0.0432098765432099,4.51851851851852,74
"MIN","AL",1990,666,729,74,0.324,0.385,0.265,0,NA,NA,162,NA,NA,"NO","MIN","MIN - 1990",1431,27,1990,"Minnesota Twins","AL West",162,74,88,0,0.457,0.459,"7th of 7","29","",666,729,1751584,29.4,27.1,39,18,"G.Gagne (3.2)","T.Kelly (74-88)","Minnesota Twins",3.2,"MIN",684,"MIN",18,27.1,4.5,74,88,0.457,4.12,162,162,149,13,13,4,43,1435.2,1509,729,658,134,489,40,872,27,5,55,6140,101,3.88,1.392,9.5,0.8,3.1,5.5,1.78,6.81481481481481,1990,"MIN",101,0.265432098765432,0.0802469135802469,0.0802469135802469,0.0246913580246914,4.11111111111111,74
"MON","NL",1990,662,598,85,0.322,0.37,0.25,0,NA,NA,162,NA,NA,"NO","WSN","WSN - 1990",2573,27,1990,"Montreal Expos","NL East",162,85,77,0,0.525,0.546,"3rd of 6","10","",662,598,1373087,27.7,29.3,44,24,"D.Martinez (4.3)","B.Rodgers (85-77)","Washington Nationals",4.3,"WSN",685,"MON",24,29.3,3.69,85,77,0.525,3.37,162,162,144,18,11,10,50,1473.1,1349,598,551,127,510,76,991,38,13,27,6173,109,3.7,1.262,8.2,0.8,3.1,6.1,1.94,7.12962962962963,1990,"WSN",109,0.308641975308642,0.111111111111111,0.0679012345679012,0.0617283950617284,4.08641975308642,85
"NYM","NL",1990,775,613,91,0.323,0.408,0.256,0,NA,NA,162,NA,NA,"NO","NYM","NYM - 1990",1547,27,1990,"New York Mets","NL East",162,91,71,0,0.562,0.606,"2nd of 6","4","",775,613,2732745,27.5,28,44,15,"F.Viola (6.3)","D.Johnson (20-22) and B.Harrelson (71-49)","New York Mets",6.3,"NYM",686,"NYM",15,28,3.78,91,71,0.562,3.43,162,162,144,18,14,7,41,1440,1339,613,548,119,444,35,1217,27,14,51,6009,110,3.17,1.238,8.4,0.7,2.8,7.6,2.74,6.64197530864198,1990,"NYM",110,0.253086419753086,0.111111111111111,0.0864197530864197,0.0432098765432099,4.78395061728395,91
"NYY","AL",1990,603,749,67,0.3,0.366,0.241,0,NA,NA,162,NA,NA,"NO","NYY","NYY - 1990",1602,27,1990,"New York Yankees","AL East",162,67,95,0,0.414,0.402,"7th of 7","21","",603,749,2006436,28.2,29.1,43,20,"R.Kelly (5.4)","B.Dent (18-31) and S.Merrill (49-64)","New York Yankees",5.4,"NYY",687,"NYY",20,29.1,4.62,67,95,0.414,4.21,162,162,147,15,6,3,41,1444.2,1430,749,676,144,618,40,909,26,6,83,6227,94,4.18,1.418,8.9,0.9,3.9,5.7,1.47,7.06172839506173,1990,"NYY",94,0.253086419753086,0.0925925925925926,0.037037037037037,0.0185185185185185,3.72222222222222,67
"OAK","AL",1990,733,570,103,0.336,0.391,0.254,1,1,2,162,NA,NA,"YES","OAK","OAK - 1990",1716,27,1990,"Oakland Athletics","AL West",162,103,59,0,0.636,0.613,"1st of 7","--","Lost WS (4-0)",733,570,2900217,29.2,31.7,40,15,"R.Henderson (9.9)","T.La Russa (103-59)","Oakland Athletics",9.9,"OAK",688,"OAK",15,31.7,3.52,103,59,0.636,3.18,162,162,144,18,16,7,64,1456,1287,570,514,123,494,19,831,27,7,50,6020,116,3.84,1.223,8,0.8,3.1,5.1,1.68,6.67901234567901,1990,"OAK",116,0.395061728395062,0.111111111111111,0.0987654320987654,0.0432098765432099,4.52469135802469,103
"PHI","NL",1990,646,729,77,0.327,0.363,0.255,0,NA,NA,162,NA,NA,"NO","PHI","PHI - 1990",1832,27,1990,"Philadelphia Phillies","NL East",162,77,85,0,0.475,0.445,"4th of 6","18","",646,729,1992484,28.6,26.5,43,20,"L.Dykstra (8.9)","N.Leyva (77-85)","Philadelphia Phillies",8.9,"PHI",689,"PHI",20,26.5,4.5,77,85,0.475,4.07,162,162,144,18,7,6,35,1449,1381,729,655,124,651,81,840,29,15,69,6259,93,4.17,1.402,8.6,0.8,4,5.2,1.29,7.30246913580247,1990,"PHI",93,0.216049382716049,0.111111111111111,0.0432098765432099,0.037037037037037,3.98765432098765,77
"PIT","NL",1990,733,619,95,0.33,0.405,0.259,1,2,3,162,NA,NA,"YES","PIT","PIT - 1990",1966,27,1990,"Pittsburgh Pirates","NL East",162,95,67,0,0.586,0.577,"1st of 6","--","Lost NLCS (4-2)",733,619,2049908,27.7,28.9,46,23,"B.Bonds (9.7)","J.Leyland (95-67)","Pittsburgh Pirates",9.7,"PIT",690,"PIT",23,28.9,3.82,95,67,0.586,3.4,162,162,144,18,8,7,43,1447,1367,619,546,135,413,48,848,30,22,42,5997,107,3.77,1.23,8.5,0.8,2.6,5.3,2.05,6.40123456790123,1990,"PIT",107,0.265432098765432,0.111111111111111,0.0493827160493827,0.0432098765432099,4.52469135802469,95
"SDP","NL",1990,673,673,75,0.32,0.38,0.257,0,NA,NA,162,NA,NA,"NO","SDP","SDP - 1990",2101,27,1990,"San Diego Padres","NL West",162,75,87,0,0.463,0.5,"4th of 6","16","",673,673,1856396,28.7,29.5,37,16,"E.Whitson (7.1)","J.McKeon (37-43) and G.Riddoch (38-44)","San Diego Padres",7.1,"SDP",691,"SDP",16,29.5,4.15,75,87,0.463,3.68,162,162,141,21,12,9,35,1461.2,1437,673,597,147,507,69,928,19,19,39,6208,105,3.93,1.33,8.8,0.9,3.1,5.7,1.83,7.09876543209877,1990,"SDP",105,0.216049382716049,0.12962962962963,0.0740740740740741,0.0555555555555556,4.15432098765432,75
"SEA","AL",1990,640,680,77,0.333,0.373,0.259,0,NA,NA,162,NA,NA,"NO","SEA","SEA - 1990",2283,27,1990,"Seattle Mariners","AL West",162,77,85,0,0.475,0.472,"5th of 7","26","",640,680,1509727,27.9,26.9,43,22,"E.Martinez (5.5)","J.Lefebvre (77-85)","Seattle Mariners",5.5,"SEA",692,"SEA",22,26.9,4.2,77,85,0.475,3.69,162,162,141,21,7,4,41,1443.1,1319,680,592,120,606,55,1064,41,12,69,6165,106,3.76,1.334,8.2,0.7,3.8,6.6,1.76,7.12962962962963,1990,"SEA",106,0.253086419753086,0.12962962962963,0.0432098765432099,0.0246913580246914,3.95061728395062,77
"SFG","NL",1990,719,710,85,0.323,0.396,0.262,0,NA,NA,162,NA,NA,"NO","SFG","SFG - 1990",2149,27,1990,"San Francisco Giants","NL West",162,85,77,0,0.525,0.506,"3rd of 6","6","",719,710,1975528,29.1,29.5,51,26,"M.Williams (4.9)","R.Craig (85-77)","San Francisco Giants",4.9,"SFG",693,"SFG",26,29.5,4.38,85,77,0.525,4.08,162,162,148,14,6,4,45,1446.1,1477,710,655,131,553,84,788,21,19,37,6235,90,4.09,1.404,9.2,0.8,3.4,4.9,1.43,7.32098765432099,1990,"SFG",90,0.277777777777778,0.0864197530864197,0.037037037037037,0.0246913580246914,4.43827160493827,85
"STL","NL",1990,599,698,70,0.32,0.358,0.256,0,NA,NA,162,NA,NA,"NO","STL","STL - 1990",2323,27,1990,"St. Louis Cardinals","NL East",162,70,92,0,0.432,0.43,"6th of 6","25","",599,698,2573225,29.4,29.8,43,22,"W.McGee (4.4)","W.Herzog (33-47), R.Schoendienst (13-11) and J.Torre (24-34)","St. Louis Cardinals",4.4,"STL",694,"STL",22,29.8,4.31,70,92,0.432,3.87,162,162,154,8,13,5,39,1443.1,1432,698,621,98,475,72,833,34,5,45,6132,98,3.59,1.321,8.9,0.6,3,5.2,1.75,6.81481481481481,1990,"STL",98,0.240740740740741,0.0493827160493827,0.0802469135802469,0.0308641975308642,3.69753086419753,70
"TEX","AL",1990,676,696,83,0.331,0.376,0.259,0,NA,NA,162,NA,NA,"NO","TEX","TEX - 1990",2477,27,1990,"Texas Rangers","AL West",162,83,79,0,0.512,0.487,"3rd of 7","20","",676,696,2057911,27.6,30.3,40,18,"J.Franco (6.8)","B.Valentine (83-79)","Texas Rangers",6.8,"TEX",695,"TEX",18,30.3,4.3,83,79,0.512,3.83,162,162,137,25,9,5,36,1444.2,1343,696,615,113,623,39,997,44,6,61,6181,103,3.83,1.361,8.4,0.7,3.9,6.2,1.6,7.10493827160494,1990,"TEX",103,0.222222222222222,0.154320987654321,0.0555555555555556,0.0308641975308642,4.17283950617284,83
"TOR","AL",1990,767,661,86,0.328,0.419,0.265,0,NA,NA,162,NA,NA,"NO","TOR","TOR - 1990",2533,27,1990,"Toronto Blue Jays","AL East",162,86,76,0,0.531,0.568,"2nd of 7","2","",767,661,3885284,27,29,41,19,"D.Stieb (5.9)","C.Gaston (86-76)","Toronto Blue Jays",5.9,"TOR",696,"TOR",19,29,4.08,86,76,0.531,3.84,162,162,156,6,9,2,48,1454,1434,661,620,143,445,44,892,37,5,43,6092,108,3.85,1.292,8.9,0.9,2.8,5.5,2,6.59876543209877,1990,"TOR",108,0.296296296296296,0.037037037037037,0.0555555555555556,0.0123456790123457,4.73456790123457,86
"ATL","NL",1989,584,680,63,0.298,0.35,0.234,0,NA,NA,161,NA,NA,"NO","ATL","ATL - 1989",47,28,1989,"Atlanta Braves","NL West",161,63,97,1,0.394,0.431,"6th of 6","28","",584,680,984930,28.1,25.4,46,23,"L.Smith (8.8)","R.Nixon (63-97)","Atlanta Braves",8.8,"ATL",645,"ATL",23,25.4,4.22,63,97,0.394,3.7,161,161,146,15,8,6,33,1447.2,1370,680,595,114,468,57,966,16,17,48,6088,98,3.46,1.27,8.5,0.7,2.9,6,2.06,6.61490683229814,1989,"ATL",98,0.204968944099379,0.093167701863354,0.0496894409937888,0.0372670807453416,3.62732919254658,63.3913043478261
"BAL","AL",1989,708,686,87,0.326,0.379,0.252,0,NA,NA,162,NA,NA,"NO","BAL","BAL - 1989",188,28,1989,"Baltimore Orioles","AL East",162,87,75,0,0.537,0.514,"2nd of 7","2","",708,686,2535208,27.1,26.9,40,17,"C.Ripken (6.6)","F.Robinson (87-75)","Baltimore Orioles",6.6,"BAL",646,"BAL",17,26.9,4.23,87,75,0.537,4,162,162,146,16,7,3,44,1448.1,1518,686,644,134,486,43,676,25,13,38,6189,95,4.09,1.384,9.4,0.8,3,4.2,1.39,7.14814814814815,1989,"BAL",95,0.271604938271605,0.0987654320987654,0.0432098765432099,0.0185185185185185,4.37037037037037,87
"BOS","AL",1989,774,735,83,0.351,0.403,0.277,0,NA,NA,162,NA,NA,"NO","BOS","BOS - 1989",304,28,1989,"Boston Red Sox","AL East",162,83,79,0,0.512,0.524,"3rd of 7","6","",774,735,2510012,29.5,29.5,35,15,"W.Boggs (8.4)","J.Morgan (83-79)","Boston Red Sox",8.4,"BOS",647,"BOS",15,29.5,4.54,83,79,0.512,4.01,162,162,148,14,9,6,42,1460.1,1448,735,650,131,548,51,1054,35,18,40,6248,103,3.68,1.367,8.9,0.8,3.4,6.5,1.92,6.98765432098765,1989,"BOS",103,0.259259259259259,0.0864197530864197,0.0555555555555556,0.037037037037037,4.77777777777778,83
"CAL","AL",1989,669,578,91,0.311,0.386,0.256,0,NA,NA,162,NA,NA,"NO","LAA","LAA - 1989",1171,28,1989,"California Angels","AL West",162,91,71,0,0.562,0.566,"3rd of 7","8","",669,578,2647291,29.8,29.1,37,15,"B.Blyleven (6.0)","D.Rader (91-71)","Los Angeles Angels of Anaheim",6,"LAA",648,"CAL",15,29.1,3.57,91,71,0.562,3.28,162,162,130,32,20,12,38,1454.1,1384,578,530,113,465,19,897,29,9,51,6068,117,3.56,1.271,8.6,0.7,2.9,5.6,1.93,6.95679012345679,1989,"LAA",117,0.234567901234568,0.197530864197531,0.123456790123457,0.0740740740740741,4.12962962962963,91
"CHC","NL",1989,702,623,93,0.319,0.387,0.261,1,2,3,162,NA,NA,"YES","CHC","CHC - 1989",420,28,1989,"Chicago Cubs","NL East",162,93,69,0,0.574,0.554,"1st of 6","--","Lost NLCS (4-1)",702,623,2491942,27.7,27.2,36,15,"R.Sandberg (6.1)","D.Zimmer (93-69)","Chicago Cubs",6.1,"CHC",649,"CHC",15,27.2,3.85,93,69,0.574,3.43,162,162,144,18,10,5,55,1460.1,1369,623,556,106,532,70,918,25,24,44,6163,111,3.59,1.302,8.4,0.7,3.3,5.7,1.73,7.15432098765432,1989,"CHC",111,0.339506172839506,0.111111111111111,0.0617283950617284,0.0308641975308642,4.33333333333333,93
"CHW","AL",1989,693,750,69,0.328,0.383,0.271,0,NA,NA,161,NA,NA,"NO","CHW","CHW - 1989",561,28,1989,"Chicago White Sox","AL West",161,69,92,0,0.429,0.464,"7th of 7","29.5","",693,750,1045651,27.6,26.4,42,19,"C.Fisk (3.3)","J.Torborg (69-92)","Chicago White Sox",3.3,"CHW",650,"CHW",19,26.4,4.66,69,92,0.429,4.23,161,161,152,9,5,2,46,1422,1472,750,668,144,539,23,778,35,15,55,6168,90,4.2,1.414,9.3,0.9,3.4,4.9,1.44,7.15527950310559,1989,"CHW",90,0.285714285714286,0.0559006211180124,0.031055900621118,0.0124223602484472,4.30434782608696,69.4285714285714
"CIN","NL",1989,632,691,75,0.309,0.37,0.247,0,NA,NA,162,NA,NA,"NO","CIN","CIN - 1989",677,28,1989,"Cincinnati Reds","NL West",162,75,87,0,0.463,0.459,"5th of 6","17","",632,691,1979320,28,28.1,42,17,"R.Dibble (3.9)","P.Rose (59-66) and T.Helms (16-21)","Cincinnati Reds",3.9,"CIN",651,"CIN",17,28.1,4.27,75,87,0.463,3.73,162,162,146,16,9,5,37,1464.1,1404,691,607,125,559,105,981,33,22,39,6265,97,3.75,1.341,8.6,0.8,3.4,6,1.75,7.29012345679012,1989,"CIN",97,0.228395061728395,0.0987654320987654,0.0555555555555556,0.0308641975308642,3.90123456790123,75
"CLE","AL",1989,604,654,73,0.31,0.365,0.245,0,NA,NA,162,NA,NA,"NO","CLE","CLE - 1989",812,28,1989,"Cleveland Indians","AL East",162,73,89,0,0.451,0.464,"6th of 7","16","",604,654,1285542,27.1,28.5,47,20,"T.Candiotti (4.7)","D.Edwards (65-78) and J.Hart (8-11)","Cleveland Indians",4.7,"CLE",652,"CLE",20,28.5,4.04,73,89,0.451,3.65,162,162,139,23,13,7,38,1453,1423,654,589,107,452,36,844,24,17,43,6128,109,3.54,1.29,8.8,0.7,2.8,5.2,1.87,6.88271604938272,1989,"CLE",109,0.234567901234568,0.141975308641975,0.0802469135802469,0.0432098765432099,3.7283950617284,73
"DET","AL",1989,617,816,59,0.318,0.351,0.242,0,NA,NA,162,NA,NA,"NO","DET","DET - 1989",952,28,1989,"Detroit Tigers","AL East",162,59,103,0,0.364,0.375,"7th of 7","30","",617,816,1543656,30.9,31,46,22,"L.Whitaker (5.3)","S.Anderson (59-103)","Detroit Tigers",5.3,"DET",653,"DET",22,31,5.04,59,103,0.364,4.53,162,162,138,24,4,3,26,1427.1,1514,816,719,150,652,91,831,43,7,50,6334,85,4.43,1.518,9.5,0.9,4.1,5.2,1.27,7.62962962962963,1989,"DET",85,0.160493827160494,0.148148148148148,0.0246913580246914,0.0185185185185185,3.80864197530864,59
"HOU","NL",1989,647,669,86,0.306,0.345,0.239,0,NA,NA,162,NA,NA,"NO","HOU","HOU - 1989",1068,28,1989,"Houston Astros","NL West",162,86,76,0,0.531,0.485,"3rd of 6","6","",647,669,1834908,29,33,37,17,"K.Caminiti (4.8)","A.Howe (86-76)","Houston Astros",4.8,"HOU",654,"HOU",17,33,4.13,86,76,0.531,3.64,162,162,143,19,12,6,38,1479.1,1379,669,599,105,551,94,965,25,23,50,6290,93,3.55,1.305,8.4,0.6,3.4,5.9,1.75,7.30246913580247,1989,"HOU",93,0.234567901234568,0.117283950617284,0.0740740740740741,0.037037037037037,3.99382716049383,86
"KCR","AL",1989,690,635,92,0.329,0.373,0.261,0,NA,NA,162,NA,NA,"NO","KCR","KCR - 1989",1123,28,1989,"Kansas City Royals","AL West",162,92,70,0,0.568,0.538,"2nd of 7","7","",690,635,2477700,30.3,27.7,36,17,"B.Saberhagen (9.7)","J.Wathan (92-70)","Kansas City Royals",9.7,"KCR",655,"KCR",17,27.7,3.92,92,70,0.568,3.55,162,162,135,27,13,9,38,1451.2,1415,635,572,86,455,56,978,25,7,56,6081,110,3.18,1.288,8.8,0.5,2.8,6.1,2.15,6.73456790123457,1989,"KCR",110,0.234567901234568,0.166666666666667,0.0802469135802469,0.0555555555555556,4.25925925925926,92
"LAD","NL",1989,554,536,77,0.306,0.339,0.24,0,NA,NA,160,NA,NA,"NO","LAD","LAD - 1989",1227,28,1989,"Los Angeles Dodgers","NL West",160,77,83,0,0.481,0.515,"4th of 6","14","",554,536,2944653,29.8,28.5,40,18,"O.Hershiser (7.3)","T.Lasorda (77-83)","Los Angeles Dodgers",7.3,"LAD",656,"LAD",18,28.5,3.35,77,83,0.481,2.95,160,160,135,25,19,14,36,1463.1,1278,536,479,95,504,73,1052,27,14,53,6034,117,3.26,1.218,7.9,0.6,3.1,6.5,2.09,6.925,1989,"LAD",117,0.225,0.15625,0.11875,0.0875,3.4625,77.9625
"MIL","AL",1989,707,679,81,0.318,0.382,0.259,0,NA,NA,162,NA,NA,"NO","MIL","MIL - 1989",1384,28,1989,"Milwaukee Brewers","AL East",162,81,81,0,0.5,0.518,"4th of 7","8","",707,679,1970735,28.4,27.9,40,20,"R.Yount (5.8)","T.Trebelhorn (81-81)","Milwaukee Brewers",5.8,"MIL",657,"MIL",20,27.9,4.19,81,81,0.5,3.8,162,162,146,16,8,4,45,1432.1,1463,679,604,129,457,43,812,29,8,35,6106,102,3.82,1.34,9.2,0.8,2.9,5.1,1.78,6.97530864197531,1989,"MIL",102,0.277777777777778,0.0987654320987654,0.0493827160493827,0.0246913580246914,4.3641975308642,81
"MIN","AL",1989,740,738,80,0.334,0.402,0.276,0,NA,NA,162,NA,NA,"NO","MIN","MIN - 1989",1432,28,1989,"Minnesota Twins","AL West",162,80,82,0,0.494,0.501,"5th of 7","19","",740,738,2277438,29.4,28,43,23,"K.Puckett (4.9)","T.Kelly (80-82)","Minnesota Twins",4.9,"MIN",658,"MIN",23,28,4.56,80,82,0.494,4.28,162,162,143,19,8,2,38,1429.1,1495,738,680,139,500,26,851,38,13,46,6180,98,3.97,1.396,9.4,0.9,3.1,5.4,1.7,7.12345679012346,1989,"MIN",98,0.234567901234568,0.117283950617284,0.0493827160493827,0.0123456790123457,4.5679012345679,80
"MON","NL",1989,632,630,81,0.319,0.361,0.247,0,NA,NA,162,NA,NA,"NO","WSN","WSN - 1989",2574,28,1989,"Montreal Expos","NL East",162,81,81,0,0.5,0.501,"4th of 6","12","",632,630,1783533,28.9,30.5,39,20,"M.Langston (4.9)","B.Rodgers (81-81)","Washington Nationals",4.9,"WSN",659,"MON",20,30.5,3.89,81,81,0.5,3.48,162,162,142,20,13,10,35,1468.1,1344,630,567,120,519,62,1059,31,20,40,6152,102,3.51,1.269,8.2,0.7,3.2,6.5,2.04,6.89506172839506,1989,"WSN",102,0.216049382716049,0.123456790123457,0.0802469135802469,0.0617283950617284,3.90123456790123,81
"NYM","NL",1989,683,595,87,0.311,0.385,0.246,0,NA,NA,162,NA,NA,"NO","NYM","NYM - 1989",1548,28,1989,"New York Mets","NL East",162,87,75,0,0.537,0.563,"2nd of 6","6","",683,595,2918710,27.5,27.5,42,20,"H.Johnson (6.9)","D.Johnson (87-75)","New York Mets",6.9,"NYM",660,"NYM",20,27.5,3.67,87,75,0.537,3.29,162,162,138,24,12,7,38,1454.1,1260,595,532,115,532,45,1108,26,24,50,6098,99,3.42,1.232,7.8,0.7,3.3,6.9,2.08,7.03703703703704,1989,"NYM",99,0.234567901234568,0.148148148148148,0.0740740740740741,0.0432098765432099,4.21604938271605,87
"NYY","AL",1989,698,792,74,0.331,0.391,0.269,0,NA,NA,161,NA,NA,"NO","NYY","NYY - 1989",1603,28,1989,"New York Yankees","AL East",161,74,87,0,0.46,0.442,"5th of 7","14.5","",698,792,2170485,28.6,29.2,49,22,"S.Sax (4.4)","D.Green (56-65) and B.Dent (18-22)","New York Yankees",4.4,"NYY",661,"NYY",22,29.2,4.92,74,87,0.46,4.5,161,161,146,15,9,4,44,1414.2,1550,792,708,150,521,52,787,37,18,42,6169,86,4.21,1.464,9.9,1,3.3,5,1.51,7.03726708074534,1989,"NYY",86,0.273291925465839,0.093167701863354,0.0559006211180124,0.0248447204968944,4.33540372670807,74.4596273291925
"OAK","AL",1989,712,576,99,0.331,0.381,0.261,1,1,1,162,NA,NA,"YES","OAK","OAK - 1989",1717,28,1989,"Oakland Athletics","AL West",162,99,63,0,0.611,0.596,"1st of 7","--","Won WS (4-0)",712,576,2667225,29.3,30,41,16,"M.Moore (5.5)","T.La Russa (99-63)","Oakland Athletics",5.5,"OAK",662,"OAK",16,30,3.56,99,63,0.611,3.09,162,162,145,17,20,3,57,1448.1,1287,576,497,103,510,23,930,28,6,71,6026,119,3.52,1.241,8,0.6,3.2,5.8,1.82,6.82098765432099,1989,"OAK",119,0.351851851851852,0.104938271604938,0.123456790123457,0.0185185185185185,4.39506172839506,99
"PHI","NL",1989,629,735,67,0.314,0.364,0.243,0,NA,NA,163,NA,NA,"NO","PHI","PHI - 1989",1833,28,1989,"Philadelphia Phillies","NL East",163,67,95,1,0.414,0.429,"6th of 6","26","",629,735,1861985,29,27.8,48,22,"V.Hayes (5.1)","N.Leyva (67-95)","Philadelphia Phillies",5.1,"PHI",663,"PHI",22,27.8,4.51,67,95,0.414,4.04,163,163,153,10,10,6,33,1433.1,1408,735,644,127,613,75,899,31,18,91,6204,88,4.01,1.41,8.8,0.8,3.8,5.6,1.47,7.17177914110429,1989,"PHI",88,0.202453987730061,0.0613496932515337,0.0613496932515337,0.0368098159509202,3.85889570552147,66.5889570552147
"PIT","NL",1989,637,680,74,0.311,0.359,0.241,0,NA,NA,164,NA,NA,"NO","PIT","PIT - 1989",1967,28,1989,"Pittsburgh Pirates","NL East",164,74,88,2,0.457,0.47,"5th of 6","19","",637,680,1374141,27,28.1,45,22,"B.Bonds (8.0)","J.Leyland (74-88)","Pittsburgh Pirates",8,"PIT",664,"PIT",22,28.1,4.15,74,88,0.457,3.64,164,164,144,20,9,7,40,1487.2,1394,680,602,121,539,78,827,29,20,55,6309,93,3.85,1.299,8.4,0.7,3.3,5,1.53,7.10365853658537,1989,"PIT",93,0.24390243902439,0.121951219512195,0.0548780487804878,0.0426829268292683,3.88414634146341,73.0975609756098
"SDP","NL",1989,642,626,89,0.319,0.369,0.251,0,NA,NA,162,NA,NA,"NO","SDP","SDP - 1989",2102,28,1989,"San Diego Padres","NL West",162,89,73,0,0.549,0.512,"2nd of 6","3","",642,626,2009031,27.9,29.2,40,17,"E.Whitson (6.7)","J.McKeon (89-73)","San Diego Padres",6.7,"SDP",665,"SDP",17,29.2,3.86,89,73,0.549,3.38,162,162,141,21,11,4,52,1457.1,1359,626,547,133,481,51,933,21,15,42,6095,104,3.7,1.263,8.4,0.8,3,5.8,1.94,6.77160493827161,1989,"SDP",104,0.320987654320988,0.12962962962963,0.0679012345679012,0.0246913580246914,3.96296296296296,89
"SEA","AL",1989,694,728,73,0.32,0.384,0.257,0,NA,NA,162,NA,NA,"NO","SEA","SEA - 1989",2284,28,1989,"Seattle Mariners","AL West",162,73,89,0,0.451,0.478,"6th of 7","26","",694,728,1298443,26.7,26.1,40,19,"S.Bankhead (4.6)","J.Lefebvre (73-89)","Seattle Mariners",4.6,"SEA",666,"SEA",19,26.1,4.49,73,89,0.451,4,162,162,147,15,10,5,44,1438,1422,728,639,114,560,44,897,42,13,47,6187,101,3.8,1.378,8.9,0.7,3.5,5.6,1.6,7.0679012345679,1989,"SEA",101,0.271604938271605,0.0925925925925926,0.0617283950617284,0.0308641975308642,4.28395061728395,73
"SFG","NL",1989,699,600,92,0.316,0.39,0.25,1,3,2,162,NA,NA,"YES","SFG","SFG - 1989",2150,28,1989,"San Francisco Giants","NL West",162,92,70,0,0.568,0.569,"1st of 6","--","Lost WS (4-0)",699,600,2059701,28.5,31.6,45,21,"W.Clark (8.6)","R.Craig (92-70)","San Francisco Giants",8.6,"SFG",667,"SFG",21,31.6,3.7,92,70,0.568,3.3,162,162,150,12,16,3,47,1457,1320,600,535,120,471,54,802,24,26,37,6041,102,3.75,1.229,8.2,0.7,2.9,5,1.7,6.60493827160494,1989,"SFG",102,0.290123456790123,0.0740740740740741,0.0987654320987654,0.0185185185185185,4.31481481481481,92
"STL","NL",1989,632,608,86,0.321,0.363,0.258,0,NA,NA,164,NA,NA,"NO","STL","STL - 1989",2324,28,1989,"St. Louis Cardinals","NL East",164,86,76,2,0.531,0.518,"3rd of 6","7","",632,608,3080980,29.3,28.2,33,15,"O.Smith (7.3)","W.Herzog (86-76)","St. Louis Cardinals",7.3,"STL",668,"STL",15,28.2,3.71,86,76,0.531,3.36,164,164,146,18,18,8,43,1461,1330,608,546,84,482,89,844,30,16,40,6090,108,3.41,1.24,8.2,0.5,3,5.2,1.75,6.70121951219512,1989,"STL",108,0.26219512195122,0.109756097560976,0.109756097560976,0.0487804878048781,3.85365853658537,84.9512195121951
"TEX","AL",1989,695,714,83,0.326,0.394,0.263,0,NA,NA,162,NA,NA,"NO","TEX","TEX - 1989",2478,28,1989,"Texas Rangers","AL West",162,83,79,0,0.512,0.488,"4th of 7","16","",695,714,2043993,27.1,29.8,41,18,"R.Sierra (5.9)","B.Valentine (83-79)","Texas Rangers",5.9,"TEX",669,"TEX",18,29.8,4.41,83,79,0.512,3.91,162,162,136,26,7,6,44,1434.1,1279,714,623,119,654,42,1112,48,16,65,6161,102,3.74,1.348,8,0.7,4.1,7,1.7,7.06172839506173,1989,"TEX",102,0.271604938271605,0.160493827160494,0.0432098765432099,0.037037037037037,4.29012345679012,83
"TOR","AL",1989,731,651,89,0.323,0.398,0.26,1,4,3,162,NA,NA,"YES","TOR","TOR - 1989",2534,28,1989,"Toronto Blue Jays","AL East",162,89,73,0,0.549,0.553,"1st of 7","--","Lost ALCS (4-1)",731,651,3375883,27.9,29,43,19,"F.McGriff (6.6)","J.Williams (12-24) and C.Gaston (77-49)","Toronto Blue Jays",6.6,"TOR",670,"TOR",19,29,4.02,89,73,0.549,3.58,162,162,150,12,12,5,38,1467,1408,651,584,99,478,44,849,45,8,58,6159,102,3.55,1.286,8.6,0.6,2.9,5.2,1.78,6.83333333333333,1989,"TOR",102,0.234567901234568,0.0740740740740741,0.0740740740740741,0.0308641975308642,4.51234567901235,89
